pathway_description	pathway_genes	pathway_ids	pathway_names
['  acetate--CoA ligase', '  acetate--CoA ligase', '  E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex', '  E1 beta subunit of the pyruvate dehydrogenase (PDH) complex', '  Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex', '  Dihydrolipoamide dehydrogenase', '  Pyruvate kinase', '  Acetyl-CoA carboxylase, biotin containing enzyme', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Acetyl-coA hydrolase', '  Cytochrome b2 (L-lactate cytochrome-c oxidoreductase)', '  D-lactate dehydrogenase, oxidizes D-lactate to pyruvate, transcription is heme-dependent', '  D-lactate dehydrogenase, located in the mitochondrial matrix', '  Putative dihydrokaempferol 4-reductase', '  Monomeric glyoxalase I', '  Cytoplasmic glyoxalase II', '  Mitochondrial malic enzyme', '  Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Fumarase, converts fumaric acid to L-malic acid in the TCA cycle', '  Phosphoenolpyruvate carboxykinase', '  Malate synthase', '  Malate synthase', '  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  Alpha-isopropylmalate synthase (2-isopropylmalate synthase)', '  Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate', '  Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate']	['PAS_chr3_0403', 'PAS_chr2-1_0767', 'PAS_chr2-2_0294', 'PAS_chr1-4_0593', 'PAS_chr1-1_0050', 'PAS_chr2-2_0048', 'PAS_chr2-1_0769', 'PAS_chr1-4_0249', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043', 'PAS_chr3_0253', 'PAS_chr4_0272', 'PAS_chr3_1021', 'PAS_chr3_0674', 'PAS_chr3_0447', 'PAS_chr4_0842', 'PAS_chr3_0783', 'PAS_chr3_0181', 'PAS_chr2-2_0024', 'PAS_chr2-1_0238', 'PAS_chr4_0815', 'PAS_chr3_0647', 'PAS_FragB_0061', 'PAS_chr4_0191', 'PAS_chr1-4_0459', 'PAS_chr1-4_0304', 'PAS_chr2-1_0415', 'PAS_chr1-1_0313', 'PAS_chr1-4_0421']	ppa00620	Pyruvate metabolism
['  Isocitrate lyase, catalyzes the formation of succinate and glyoxylate from isocitrate', '  acetate--CoA ligase', '  acetate--CoA ligase', '  Malate synthase', '  Malate synthase', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  hypothetical protein', '  Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitoc', '  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  Catalase A, breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1', '  Glyoxylate reductase', '  Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate', '  Glutamine synthetase (GS), synthesizes glutamine from glutamate and ammonia', '  Cytosolic serine hydroxymethyltransferase', '  Mitochondrial serine hydroxymethyltransferase', '  Glycine dehydrogenase', '  hypothetical protein', '  Dihydrolipoamide dehydrogenase', '  H subunit of the mitochondrial glycine decarboxylase complex', '  hypothetical protein', '  NAD(+)-dependent formate dehydrogenase, may protect cells from exogenous formate']	['PAS_chr1-4_0338', 'PAS_chr3_0403', 'PAS_chr2-1_0767', 'PAS_chr4_0191', 'PAS_chr1-4_0459', 'PAS_chr2-1_0238', 'PAS_chr4_0815', 'PAS_chr1-1_0475', 'PAS_chr1-3_0104', 'PAS_chr1-4_0304', 'PAS_chr2-2_0131', 'PAS_chr4_0593', 'PAS_chr4_0416', 'PAS_chr4_0785', 'PAS_chr4_0415', 'PAS_chr4_0587', 'PAS_FragB_0053', 'PAS_chr2-2_0492', 'PAS_chr2-2_0048', 'PAS_FragB_0009', 'PAS_chr4_0938', 'PAS_chr3_0932']	ppa00630	Glyoxylate and dicarboxylate metabolism
['  acetate--CoA ligase', '  acetate--CoA ligase', '  Dihydrolipoamide dehydrogenase', '  Fatty-acyl coenzyme A oxidase', '  Multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway', '  3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases', '  Acetyl-CoA carboxylase, biotin containing enzyme', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobu', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)', '  Alpha subunit of succinyl-CoA ligase', '  Beta subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle', '  Mitochondrial aldehyde dehydrogenase', '  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  Bifunctional enzyme with alcohol dehydrogenase and glutathione-dependent formaldehyde dehydrogenase', '  Putative dihydrokaempferol 4-reductase']	['PAS_chr3_0403', 'PAS_chr2-1_0767', 'PAS_chr2-2_0048', 'PAS_chr1-4_0538', 'PAS_chr2-1_0776', 'PAS_chr3_0937', 'PAS_chr1-4_0249', 'PAS_chr2-1_0107', 'PAS_chr4_0677', 'PAS_chr3_0831', 'PAS_chr2-2_0407', 'PAS_chr4_0470', 'PAS_chr1-4_0304', 'PAS_chr2-1_0313', 'PAS_chr3_0447']	ppa00640	Propanoate metabolism
['  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  hypothetical protein', '  Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA)', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobu', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)', '  3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-Co', '  Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis', '  hypothetical protein']	['PAS_chr1-4_0304', 'PAS_chr2-1_0343', 'PAS_chr3_0965', 'PAS_chr2-1_0107', 'PAS_chr4_0677', 'PAS_chr2-1_0191', 'PAS_chr4_0228', 'PAS_chr2-1_0864']	ppa00650	Butanoate metabolism
['  Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis', '  hypothetical protein', '  Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis path']	['PAS_chr4_0228', 'PAS_chr2-1_0864', 'PAS_chr3_0039']	ppa00660	C5-Branched dibasic acid metabolism
"['  hypothetical protein', '  C-1-tetrahydrofolate synthase, mitochondrial', '  NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase', '  Cytosolic serine hydroxymethyltransferase', '  Mitochondrial serine hydroxymethyltransferase', ""  Phosphoribosyl-glycinamide transformylase, catalyzes a step in the 'de novo' purine nucleotide biosy"", ""  Enzyme of 'de novo' purine biosynthesis"", '  Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria', '  hypothetical protein', '  Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides', '  Isozyme of methylenetetrahydrofolate reductase', '  Isozyme of methylenetetrahydrofolate reductase', '  5,10-methenyltetrahydrofolate synthetase, involved in folic acid biosynthesis']"	['PAS_chr1-4_0697', 'PAS_chr1-4_0632', 'PAS_chr1-3_0220', 'PAS_chr4_0415', 'PAS_chr4_0587', 'PAS_chr2-1_0121', 'PAS_chr2-1_0660', 'PAS_chr1-1_0212', 'PAS_chr2-2_0492', 'PAS_chr3_0996', 'PAS_chr2-2_0182', 'PAS_chr2-2_0145', 'PAS_chr4_0247']	ppa00670	One carbon pool by folate
['  Alcohol oxidase', '  hypothetical protein', '  S-(hydroxymethyl)glutathione dehydrogenase', '  Non-essential intracellular esterase that can function as an S-formylglutathione hydrolase', '  NAD(+)-dependent formate dehydrogenase, may protect cells from exogenous formate', '  Cytosolic serine hydroxymethyltransferase', '  Mitochondrial serine hydroxymethyltransferase', '  Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate', '  Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosph', '  Transketolase, similar to Tkl2p', '  Transketolase, similar to Tkl2p', '  Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA)', '  Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis', '  Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway', '  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis', '  acetate--CoA ligase', '  acetate--CoA ligase', '  Tetrameric phosphoglycerate mutase', '  Tetrameric phosphoglycerate mutase', '  3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis', '  3-phosphoserine aminotransferase', '  Phosphoserine phosphatase of the phosphoglycerate pathway, involved in serine and glycine biosynthes']	['PAS_chr4_0821', 'PAS_chr4_0152', 'PAS_chr3_1028', 'PAS_chr3_0867', 'PAS_chr3_0932', 'PAS_chr4_0415', 'PAS_chr4_0587', 'PAS_chr4_0416', 'PAS_chr3_0082', 'PAS_chr3_0832', 'PAS_chr3_0834', 'PAS_chr3_0841', 'PAS_chr1-1_0072', 'PAS_chr3_0868', 'PAS_chr2-1_0402', 'PAS_chr1-4_0047', 'PAS_chr3_0403', 'PAS_chr2-1_0767', 'PAS_chr3_0693', 'PAS_chr3_0826', 'PAS_chr2-1_0657', 'PAS_chr3_0566', 'PAS_chr4_0285']	ppa00680	Methane metabolism
['  Multifunctional protein with both hydroxymethylpyrimidine kinase and thiaminase activities', '  Protein involved in synthesis of the thiamine precursor hydroxymethylpyrimidine (HMP)', '  Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis', '  Thiazole synthase, catalyzes formation of the thiazole moiety of thiamin pyrophosphate', '  Bifunctional enzyme', '  Repressible alkaline phosphatase, a glycoprotein localized to the vacuole', '  One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface', '  Protein phosphotyrosine phosphatase', '  Thiamine pyrophosphokinase, phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (', '  Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP', '  Adenylate kinase']	['PAS_chr3_0842', 'PAS_chr4_0065', 'PAS_chr3_0037', 'PAS_chr3_0648', 'PAS_chr3_0843', 'PAS_chr2-2_0084', 'PAS_chr2-1_0103', 'PAS_chr1-4_0151', 'PAS_chr3_0052', 'PAS_chr2-1_0111', 'PAS_chr3_0257']	ppa00730	Thiamine metabolism
['  GTP cyclohydrolase II', '  Diaminohydroxyphoshoribosylaminopyrimidine deaminase', '  DRAP deaminase, catalyzes the third step of the riboflavin biosynthesis pathway', '  3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase), required for riboflavin biosynthesis', '  Lumazine synthase (6,7-dimethyl-8-ribityllumazine synthase, also known as DMRL synthase)', '  Riboflavin synthase', '  hypothetical protein', '  One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface', '  Protein phosphotyrosine phosphatase', '  Flavin adenine dinucleotide (FAD) synthetase']	['PAS_chr2-1_0736', 'PAS_chr3_0156', 'PAS_chr1-3_0239', 'PAS_chr3_0167', 'PAS_chr3_1037', 'PAS_chr4_0081', 'PAS_chr4_0996', 'PAS_chr2-1_0103', 'PAS_chr1-4_0151', 'PAS_chr1-3_0240']	ppa00740	Riboflavin metabolism
['  Pyridoxine (pyridoxamine) phosphate oxidase, has homologs in E. coli and Myxococcus xanthus', '  hypothetical protein', '  Protein involved in bud-site selection', '  pyridoxal kinase BUD16', '  Putative protein of unknown function', '  3-phosphoserine aminotransferase', '  Threonine synthase, conserved protein that catalyzes formation of threonine from 0-phosphohomoserine', '  Member of a stationary phase-induced gene family', '  hypothetical protein']	['PAS_chr1-1_0448', 'PAS_chr4_0981', 'PAS_chr2-1_0273', 'PAS_chr1-4_0144', 'PAS_chr4_0550', 'PAS_chr3_0566', 'PAS_chr2-1_0269', 'PAS_chr1-4_0393', 'PAS_chr1-4_0392']	ppa00750	Vitamin B6 metabolism
['  Quinolinate phosphoribosyl transferase', '  Nicotinate phosphoribosyltransferase, acts in the salvage pathway of NAD+ biosynthesis', '  Purine nucleoside phosphorylase, specifically metabolizes inosine & guanosine nucleosides', '  Nicotinamide riboside kinase', '  Pyrimidine nucleotidase', '  Nicotinic acid mononucleotide adenylyltransferase, involved in pathways of NAD biosynthesis', '  Glutamine-dependent NAD(+) synthetase', '  Nicotinamidase', '  Conserved NAD+ dependent histone deacetylase of the Sirtuin family', '  Member of silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases', '  Member of the Sir2 family of NAD(+)-dependent protein deacetylases', '  Member of the Sir2 family of NAD(+)-dependent protein deacetylases', '  hypothetical protein']	['PAS_chr3_0915', 'PAS_chr2-1_0221', 'PAS_chr1-1_0132', 'PAS_chr2-2_0359', 'PAS_chr1-3_0130', 'PAS_chr1-4_0181', 'PAS_chr4_0233', 'PAS_chr3_0361', 'PAS_chr1-1_0374', 'PAS_chr1-4_0315', 'PAS_chr4_0474', 'PAS_chr2-1_0513', 'PAS_chr4_0912']	ppa00760	Nicotinate and nicotinamide metabolism
['  Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis', '  hypothetical protein', '  Acetohydroxyacid reductoisomerase', '  Dihydroxyacid dehydratase', '  Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis', '  hypothetical protein', '  Pantothenate synthase, also known as pantoate-beta-alanine ligase', '  pantothenate kinase', '  Putative phosphopantothenoylcysteine synthetase (PPCS)', '  hypothetical protein', '  Putative pantetheine-phosphate adenylyltransferase (PPAT)', '  Putative dephospho-CoA kinase (DPCK) that catalyzes the final step in Coenzyme A biosynthesis', '  hypothetical protein', '  Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39']	['PAS_chr4_0228', 'PAS_chr2-1_0864', 'PAS_chr1-1_0432', 'PAS_chr1-4_0458', 'PAS_chr3_1012', 'PAS_chr4_0968', 'PAS_chr1-4_0198', 'PAS_chr1-1_0324', 'PAS_chr2-2_0204', 'PAS_chr2-1_0871', 'PAS_chr4_0023', 'PAS_chr4_0477', 'PAS_chr4_0793', 'PAS_chr4_0248']	ppa00770	Pantothenate and CoA biosynthesis
['  Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis', '  3-oxoacyl-[acyl-carrier-protein] reductase', '  Biotin synthase, catalyzes the conversion of dethiobiotin to biotin', '  Biotin:apoprotein ligase, covalently modifies proteins with the addition of biotin']	['PAS_chr4_0511', 'PAS_chr2-1_0856', 'PAS_chr1-3_0052', 'PAS_chr3_0569']	ppa00780	Biotin metabolism
['  Lipoyl ligase, involved in the modification of mitochondrial enzymes', '  Protein involved in biosynthesis of the coenzyme lipoic acid', '  Putative lipoate-protein ligase A family member']	['PAS_chr1-1_0243', 'PAS_chr1-4_0425', 'PAS_chr4_0691']	ppa00785	Lipoic acid metabolism
['  GTP-cyclohydrolase I, catalyzes the first step in the folic acid biosynthetic pathway', '  Repressible alkaline phosphatase, a glycoprotein localized to the vacuole', '  Multifunctional enzyme of the folic acid biosynthesis pathway', '  hypothetical protein', '  Folylpolyglutamate synthetase, catalyzes extension of the glutamate chains of the folate coenzymes', '  Dihydrofolate synthetase', '  GTP cyclohydrolase II', '  Para-aminobenzoate (PABA) synthase', '  hypothetical protein', '  pterin-4-alpha-carbinolamine dehydratase', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein']	['PAS_chr1-1_0062', 'PAS_chr2-2_0084', 'PAS_chr2-2_0302', 'PAS_chr1-4_0697', 'PAS_chr4_0196', 'PAS_chr1-4_0009', 'PAS_chr2-1_0736', 'PAS_chr2-2_0075', 'PAS_chr4_0940', 'PAS_chr1-4_0110', 'PAS_chr3_0687', 'PAS_chr1-1_0456', 'PAS_chr4_0951']	ppa00790	Folate biosynthesis
['  Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities']	['PAS_chr4_0173']	ppa00791	Atrazine degradation
['  5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway', '  Glutamyl-tRNA synthetase, cytoplasmic', '  Mitochondrial glutamyl-tRNA synthetase, encoded by a nuclear gene', '  Delta-aminolevulinate dehydratase, a homo-octameric enzyme', '  Phorphobilinogen deaminase', '  Uroporphyrinogen III synthase', '  Uroporphyrinogen decarboxylase', '  Coproporphyrinogen III oxidase, an oxygen requiring enzyme', '  Protoporphyrinogen oxidase', '  Ferrochelatase', '  S-adenosyl-L-methionine uroporphyrinogen III transmethylase', '  Bifunctional dehydrogenase and ferrochelatase, involved in the biosynthesis of siroheme', '  Heme A:farnesyltransferase', '  Protein required for the hydroxylation of heme O to form heme A', '  Cytochrome c1 heme lyase, involved in maturation of cytochrome c1', '  Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c', '  Frataxin, regulates mitochondrial iron accumulation']	['PAS_chr2-1_0716', 'PAS_chr1-4_0598', 'PAS_chr1-1_0241', 'PAS_chr4_0418', 'PAS_chr1-4_0303', 'PAS_chr2-1_0533', 'PAS_chr3_0954', 'PAS_chr3_0943', 'PAS_chr4_0055', 'PAS_chr3_0264', 'PAS_chr1-3_0078', 'PAS_chr1-4_0222', 'PAS_chr1-3_0194', 'PAS_chr4_0449', 'PAS_chr2-2_0290', 'PAS_chr2-2_0293', 'PAS_chr1-4_0025']	ppa00860	Porphyrin and chlorophyll metabolism
['  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-Co', '  One of two isozymes of HMG-CoA reductase that catalyzes the conversion of HMG-CoA to mevalonate', '  Mevalonate kinase, acts in the biosynthesis of isoprenoids and sterols, including ergosterol', '  Phosphomevalonate kinase, an essential cytosolic enzyme', '  Mevalonate pyrophosphate decarboxylase', '  Isopentenyl diphosphate:dimethylallyl diphosphate isomerase (IPP isomerase)', '  Farnesyl pyrophosphate synthetase', '  Geranylgeranyl diphosphate synthase, increases the intracellular pool of geranylgeranyl diphosphate', '  Hexaprenyl pyrophosphate synthetase', '  Cis-prenyltransferase involved in synthesis of long-chain dolichols', '  Cis-prenyltransferase involved in dolichol synthesis', '  Prenyltransferase, required for cell viability', '  Alpha subunit of both the farnesyltransferase and type I geranylgeranyltransferase', '  Beta subunit of the CAAX farnesyltransferase (FTase)', '  hypothetical protein', '  Highly conserved zinc metalloprotease', '  Farnesyl cysteine-carboxyl methyltransferase, mediates the carboxyl methylation step during C-termin']	['PAS_chr1-4_0304', 'PAS_chr2-1_0191', 'PAS_chr2-2_0230', 'PAS_chr1-3_0187', 'PAS_chr2-2_0318', 'PAS_chr1-4_0003', 'PAS_chr1-4_0429', 'PAS_chr1-4_0314', 'PAS_chr3_1007', 'PAS_chr4_0819', 'PAS_chr1-1_0424', 'PAS_chr4_0818', 'PAS_chr1-1_0301', 'PAS_chr1-3_0192', 'PAS_chr3_0636', 'PAS_chr4_0834', 'PAS_chr2-2_0164', 'PAS_chr3_0130']	ppa00900	Terpenoid backbone biosynthesis
